h e d e	h₁ e d
s a r h	h₁ s h₂ r
h a s t u r	h₂ e s t r
s u l	s w l
t o r	t o r h₂
t e m	t e m h₁
k a s	k̑ a s
k o r	k o r
a t a	a t
b o r h o	bʱ o r h₁
s o	s e u h₃
k e r	k̑ e r
g o n o	g̑ n e h₃
d e l h	d e l h₁
h a n a r	h₂ n e r
b e n t i	m n t i
h o s	h₃ o h₁ s
n a s a	n a s
n o	n o
s t a h a r	s t a h₂ r o
o h i	o i
a l	a l
d o k i	d e u k
d e k i s o	d e k̑ s
s e d e	s e d
b e n	m e n
s t a h	s t e h₂
s t a r	h₂  s t e r
s t a g a	s t e g
s t u r	s t u h₂ r
t h i	t i h₁
b i	w i
p e l h	p e l h₁
b e r o	w e r h₁
h u r	u h₁ r
u d	u d
